Id;Designator;Package;Quantity;Designation;Supplier and ref;wpisano;;;;;;;;;
1;BT1;BatteryHolder_Keystone_103_1x20mm;1;Battery_Cell;tak;;;;;;;;;;
2;BZ1;Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm;1;Buzzer;tak;tak;;;;;;;;;
3;C1,C14,C15,C17,C19,C21,C27,C28,C29,C30,C36,C37,C38;C_0805_2012Metric;13;100n;tak;;;;;;;;;;
4;C2,C3,C4,C5,C6,C12,C13,C31,C32,C33,C34;C_0805_2012Metric;11;100nF;tak;;;;;;;;;;
5;C7,C8,C10,C11;C_0805_2012Metric;4;22p;tak;;;;;;;;;;
6;C9,C25,C35;C_0805_2012Metric;3;C_Small;tak;;;;;;;;;;
7;C16,C18;C_0805_2012Metric;2;4,7n;Tak;;;;;;;;;;
8;C20,C24;CP_Elec_8x10.5;2;680u;tak;;;;;;;;;;
9;C22;C_0805_2012Metric;1;10n;tak;;;;;;;;;;
10;C23;CP_Elec_6.3x5.8;1;220n;tak;;;;;;;;;;
11;C26;CP_Elec_6.3x5.8;1;220u;tak;;;;;;;;;;
12;D1;SOT-23;1;D_TVS_x2_AAC;tak;tak;;;;;;;;;
13;D2;D_SMB;1;D_Zener;tak;;;;;;;;;;
14;D3,D5,D7;D_SMB;3;D_Schottky;tak;;;;;;;;;;
15;D4,D6,D8;D_0805_2012Metric;3;LED_Small;tak;;;;;;;;;;
16;D9;D_SMB;1;D_Schottky_Small;tak;;;;;;;;;;
17;D10,D11,D12,D13;SOT-23;4;D_TVS_x2_ACA;tak;;;;;;;;;;
18;F1;Fuse_1812_4532Metric;1;Polyfuse;tak;;;;;;;;;;
19;F2;Fuse_1812_4532Metric;1;200mA;tak;;;;;;;;;;
20;F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20;Fuse_1812_4532Metric;18;Polyfuse_Small;tak;tak;;;;;;;;;
21;FB1;L_1206_3216Metric;1;Ferrite_Bead_Small;tak;;;;;;;;;;
22;J2;PinHeader_1x06_P2.54mm_Vertical;1;Conn_01x06_Male;tak;;;;;;;;;;
23;J4;microSD_HC_Hirose_DM3AT-SF-PEJM5;1;Micro_SD_Card_Det_Hirose_DM3AT;tak;;;;;;;;;;
24;J5,J6,J7,J8,J9;PinHeader_1x02_P2.54mm_Vertical;5;Conn_01x02_Male;tak;;;;;;;;;;
25;J10;USB_Micro-B_Molex_47346-0001;1;USB_B_Mini;tak;;;;;;;;;;
26;L1;L_0805_2012Metric;1;L_Small;tak;;;;;;;;;;
27;L2,L3;L_12x12mm_H8mm;2;L_Small;tak;;;;;;;;;;
28;Q1,Q44,Q45,Q46;SOT-23;4;Q_NMOS_GSD;tak;;;;;;;;;;
29;Q2,Q3,Q4,Q5,Q6,Q12,Q13,Q14,Q15,Q16,Q22,Q23,Q24,Q28,Q29,Q30,Q31,Q32,Q33,Q40,Q41;PowerIntegrations_SO-8;21;Q_PMOS_GSD;tak;;;;;;;;;;
30;Q7,Q8,Q9,Q10,Q11,Q17,Q18,Q19,Q20,Q21,Q34,Q35,Q36,Q37,Q38,Q39,Q42,Q43;SOT-23;18;Q_NPN_BEC;tak;;;;;;;;;;
31;Q25,Q26,Q27;SOT-23-5;3;Q_NPN_BEC;tak;;;;;;;;;;
32;R1,R15,R18;R_0805_2012Metric;3;100k;tak;;;;;;;;;;
33;R2,R4,R5,R34,R35,R36,R37,R38,R44,R45,R46,R47,R48,R64,R65,R66,R67,R68,R74,R75,R76,R77,R78,R88,R89,R90,R94,R95,R96,R106,R107,R108,R109,R110,R111,R118,R119,R120,R121,R122,R123,R130,R131,R134,R135,R138,R139,R140,R141,R142,R143,R146,R147,R148,R149,R150,R151,R164,R165,R166,R167,R168,R169,R176,R177,R178;R_0805_2012Metric;66;10k;tak;;;;;;;;;;
34;R3,R19,R20,R21,R22,R23,R49,R50,R51,R52,R53,R79,R80,R81,R97,R98,R99,R124,R125,R173,R174,R175;R_0805_2012Metric;22;100R;tak;;;;;;;;;;
35;R6,R7,R8,R9,R10;R_0805_2012Metric;5;47k;tak;;;;;;;;;;
36;R11;R_0805_2012Metric;1;180k;tak;;;;;;;;;;
37;R12;R_0805_2012Metric;1;R120;tak;;;;;;;;;;
38;R13,R152,R153,R154,R155,R156,R157,R158,R159;R_0805_2012Metric;9;R_Small;tak;;;;;;;;;;
39;R14;R_0805_2012Metric;1;900K;tak;;;;;;;;;;
40;R16,R29,R30,R31,R32,R33,R39,R40,R41,R42,R43,R59,R60,R61,R62,R63,R69,R70,R71,R72,R73,R85,R86,R87,R91,R92,R93,R103,R104,R105,R112,R113,R114,R115,R116,R117,R128,R129,R132,R133;R_0805_2012Metric;40;1k;tak;;;;;;;;;;
41;R17;R_0805_2012Metric;1;220R;tak;;;;;;;;;;
42;R24,R25,R26,R27,R28,R54,R55,R56,R57,R58,R82,R83,R84,R100,R101,R102,R126,R127;R_2512_6332Metric;18;0,02R;tak;;;;;;;;;;
43;R136,R137,R144,R145,R160,R161,R162,R163,R179,R180;R_0805_2012Metric;10;10R;tak;;;;;;;;;;
44;R170,R171,R172;R_0805_2012Metric;3;2k;tak;;;;;;;;;;
45;SW1;SW_PUSH_6mm_H5mm;1;SW_Push;tak;;;;;;;;;;
46;U1;LQFP-64_10x10mm_P0.5mm;1;STM32F446RETx;tak;;;;;;;;;;
47;U2;SOIC-8_3.9x4.9mm_P1.27mm;1;MCP2562-H-SN;tak;;;;;;;;;;
48;U3;TO-263-5_TabPin3;1;LM2596S-12;tak;;;;;;;;;;
49;U4;TO-263-5_TabPin3;1;LM2596S-5;tak;;;;;;;;;;
50;U5,U6;SOT-223-3_TabPin2;2;LM1117-3.3;tak;;;;;;;;;;
51;U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,U22,U23,U24;SOT-23-5;18;LT6106;tak;;;;;;;;;;
52;U25,U26,U27,U28;SOT-353_SC-70-5;4;MCP6001x-LT;tak;;;;;;;;;;
53;U29,U30,U31,U32,U33,U34,U35,U36;DIP-4_W7.62mm;8;SFH617A-1;tak;;;;;;;;;;
54;U37;SSOP-28_5.3x10.2mm_P0.65mm;1;MCP23017_SS;tak;;;;;;;;;;
55;U38,U39,U40;TSSOP-16_4.4x5mm_P0.65mm;3;74HC4051;tak;;;;;;;;;;
56;Y1,Y2;Crystal_SMD_HC49-SD;2;Crystal;tak;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
231;Power PMosfet;FDS6675BZ;Tranzystor mocy steruj¹cy zasilaniem uk³adów zewnêtrznych;1,39;41,7;;https://www.tme.eu/pl/details/fds6675bz/tranzystory-z-kanalem-p-smd/on-semiconductor/;Potrzeba do wykonania uk³¹du PDM;30;Potrzeba do uk³adu oko³o 25 sztuk, a lekki zapas pozwoli na wymiane w przypadku uszkodzenia;Faza wykonawcza;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
232;Multiplekser;74HC4051PW.112 NEXPERIA;Potrzebne do wykonywania pomiarów ADC;1,28333;6,41665;;https://www.tme.eu/pl/details/74hc4051pw.112/dekodery-multipleksery-przelaczniki/nexperia/;Potrzeba do wykonania uk³¹du PDM;5;3 do uk³adu, dwa do testów i nauki dzialania;Faza wykonawcza;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
233;Ekspadnder wyprowadzen;MCP23017-E/SS MICROCHIP TECHNOLOGY;Rozszerzenie iloœci wyprowadzeñ procesora;5,78;17,34;;https://www.tme.eu/pl/details/mcp23017-e_ss/multipleksery-i-przelaczniki-analogowe/microchip-technology/;Potrzeba do wykonania uk³¹du PDM;3;2 do uk³¹du, 1 zapas;Faza wykonawcza;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
234;Tranzystor Nmos;BSS138-7-F DIODES INCORPORATED;Sterowanie elementami wymagaj¹cego wy¿szego pr¹du;0,39;1,95;;https://www.tme.eu/pl/details/bss138-7-f/tranzystory-z-kanalem-n-smd/diodes-incorporated/;Potrzeba do wykonania uk³¹du PDM;5;Min 10 mozna zamowic, ale 5 u¿yte jest w uk³adzie, choæ tego typu elementy zawsze sie przydaj¹;Faza wykonawcza;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
235;Buzzer;BMT-0905XH05;Sygnalizowanie b³êdów uk³adu za pomoc¹ sygna³ów dŸwiêkowych;5,73;5,73;;https://www.tme.eu/pl/details/bmt-0905xh05/sygnalizatory-elektromag-z-generatorem/bestar/bmt0905xh05/;Potrzeba do wykonania uk³¹du PDM;1;minimalna do wykonania uk³adu;Faza wykonawcza;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
236;Tranzystor NPN;BC817-16-7-F;wspomaganie sterowania silnopr¹dowych tranzystorów;0,385;11,55;;https://www.tme.eu/pl/details/bc817-16-7-f/tranzystory-npn-smd/diodes-incorporated/bc817-16/;Potrzeba do wykonania uk³¹du PDM;30;Iloœæ analogiczna do PowerPmos;Faza wykonawcza;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
237;Wzmacniacz operacyjny pomiarowy;LT6106HS5#TRMPBF ANALOG DEVICES;Wzmacniacz operacyjny do poboru pr¹du;8,12;162,4;;https://www.tme.eu/pl/details/lt6106hs5pbf/wzmacniacze-operacyjne-smd/analog-devices/lt6106hs5-trmpbf/;Potrzeba do wykonania uk³¹du PDM;20;Potrzebne do pomiaru poborów pr¹du wyjœæ;Faza wykonawcza;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
238;Wzmacniacz operacyjny;MCP6001;Wzmacnianie sygna³ów wysokoimpedancyjnych;2,033;8,132;;https://www.tme.eu/pl/details/mcp6001t-i_lt/wzmacniacze-operacyjne-smd/microchip-technology/;Potrzeba do wykonania uk³¹du PDM;4;taka ilosc jest niezbêdna do wykonania uk³adu;Faza wykonawcza;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
239;Modu³ CAN;MCP2562-E/SN MICROCHIP TECHNOLOGY;Transiver Can;4,59;9,18;;https://www.tme.eu/pl/details/mcp2562-e_sn/uklady-scalone-interfejs-can/microchip-technology/;Potrzeba do wykonania uk³¹du PDM;2;Na uk³adzie znajduj¹ siê dwa kontrolery Can;Faza wykonawcza;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
240;Transoptor;SFH617A-3X007T VISHAY;izolacja we/wyj;1,0098;10,098;;https://www.tme.eu/pl/details/sfh617a-3x007t/transoptory-wyjscie-analogowe/vishay/;Potrzeba do wykonania uk³¹du PDM;10;Potrzeba 8 sztuk plus zapas;Faza wykonawcza;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
241;Z³¹cze karty micro SD;112A-TAAR-R03 ATTEND;Mo¿liwoœæ zapisu danych na karte micro SD;5,18;5,18;;https://www.tme.eu/pl/details/mcc-sdmicro/zlacza-do-kart/attend/112a-taar-r03/;Potrzeba do wykonania uk³¹du PDM;1;Potrzeba 1;Faza wykonawcza;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
242;Przemys³owa Karta SD;SDU2GCMGRB GOODRAM INDUSTRIAL;;32,47;32,47;;https://www.tme.eu/pl/details/sdu2gcmgrb/karty-pamieci/goodram-industrial/;Potrzeba do wykonania uk³¹du PDM;1;potrzeba 1;Faza wykonawcza;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
243;Przetwornica DC/DC 12V;AP1501A-12K5G-13 DIODES INCORPORATED;Potrzebujemy wytworzyæ napiêcie 12V do zasilania pompy wody;12,55;25,1;;https://www.tme.eu/pl/details/ap1501a-12k5g-13/regulatory-napiecia-uklady-dc-dc/diodes-incorporated/;Potrzeba do wykonania uk³¹du PDM;2;Potrzebny 1, 1 w zapasie bo nie jest to czêsto u¿ywany elementy;Faza wykonawcza;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
244;Przetwornica DC/DC 5V;AP1501-50K5G-13 DIODES INCORPORATED;Wytwarza napiêcie 5V;4,74;9,48;;https://www.tme.eu/pl/details/ap1501-50k5g-13/regulatory-napiecia-uklady-dc-dc/diodes-incorporated/;Potrzeba do wykonania uk³¹du PDM;2;Potrzeba 1, 1 zapas;Faza wykonawcza;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
245;Cewka 18uF;PCS127MT180 VIKING;potrzebna do przetwornicy 5V;2,12;10,6;;https://www.tme.eu/pl/details/pcs127mt180/dlawiki-smd-mocy/viking/;Potrzeba do wykonania uk³¹du PDM;5;;Faza wykonawcza;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
246;Cewka 47uF;DE1207-47 FERROCORE;potrzebna do przetwornicy 12V;1,688;8,44;;https://www.tme.eu/pl/details/de1207-47/dlawiki-smd-mocy/ferrocore/;Potrzeba do wykonania uk³¹du PDM;5;;;;;;
247;Procesor STM32F446RE;STM32F446RET7TR;Procesor steruj¹cy uk³adem;$8,25;;;https://estore.st.com/en/products/microcontrollers-microprocessors/stm32-32-bit-arm-cortex-mcus/stm32-high-performance-mcus/stm32f4-series/stm32f446/stm32f446re.html;Potrzeba do wykonania uk³¹du PDM;;;;;;;
248;Koratlik Ferrytowy;BLM31AJ260SN1L MURATA;zabezpieczenie przeciwzak³óceniowe;0,5994;5,994;;https://www.tme.eu/pl/details/blm31a260spt/ferryty-koraliki/murata/blm31aj260sn1l/;Potrzeba do wykonania uk³¹du PDM;10;Minimalna ilosc do zamowienia;Faza wykonawcza;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
249;Rezystor Pomiarowy;LRP12FTDRR020 VIKING;Umo¿liwa pomiar pr¹du;0,64942;25,9768;;https://www.tme.eu/pl/details/lrp2512-r020-1%25/rezystory-smd-2512/viking/lrp12ftdrr020/;Potrzeba do wykonania uk³¹du PDM;40;Potrzeba du¿o takich rezystorów na uk³adzie;;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
250;Kondensator elektrolityczny 680uF;EEEFP1A681AP PANASONIC;Filtrowanie zailsania;1,76179;5,28537;;https://www.tme.eu/pl/details/eeefp1a681ap/kondensatory-elektr-smd-niskoimpedan/panasonic/;Potrzeba do wykonania uk³¹du PDM;3;;;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
251;Kondensator elektrolityczny 220uF;EEEFK0J221AP PANASONIC;Filtrowanie zailsania;0,93992;2,81976;;https://www.tme.eu/pl/details/eeefk0j221ap/kondensatory-elektr-smd-niskoimpedan/panasonic/;Potrzeba do wykonania uk³¹du PDM;3;;;Im szybciej uda siê pozyskac czeœæ tym szybciej bêdzie mog³a rozpocz¹æ siê praca nad prototypem;Napewno nie na ca³oœæ (TME mo¿e nas wesprzeæ czêœciowo, np zni¿ka 10%);PDM;Szymon Sambor
